Symbol,Retinal_Cell_Type_Rob,Notes_on_Evidence_Source_Cell_Type
Ero1lb,,
Hmgb3,,
Gm21847,,
Kcnk9,,
4930448I06Rik,,
Egfl7,Endothelium,Parent gene of Mir126
Tinag,,
Pate2,,
Gm15609,,
Mir7663,,
Kynu,,
Fcho1,,
Mrc1,,
Gm16096,,
Trpv6,,
Stk32a,,
Cmah,,
Pacrg,,
1810026J23Rik,,
Gm13609,,
Zdhhc2,Unknown,
Vwce,,
Upk1b,,
Zfp566,,
Syt3,RGC candidate,"BXD_Thy1_Cov, HSA_ThyRbpms_Cov  "
Dbf4,,
Psg27,,
4930452B06Rik,,
Elac2,,
Dact1,,
Gm21983,,
Tmem259,RGC candidate,BXD_Thy1_Cov
Mir7674,,
Zik1,,
1700060J05Rik,,
Gm10475,,
Spam1,,
Gm26735,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Vmn2r30,,
Slc8a2,RGC candidate,BXD_Thy1_Cov
Hgh1,,
Olfr435,,
Ube2v2,RGC candidate,BXD_Thy1_Cov
E130309D14Rik,,
Rpl10l,,
Crxos,,
Cdkal1,,
D930015E06Rik,,
4930557A04Rik,,Upregulated in D2 mutant relative to control by about a factor of 11.9673161533627
Acrv1,,
Dcp2,,
2610307P16Rik,,
Vwa5b2,,
Olfr901,,
Zfp735,,
Pde4a,RGC candidate,BXD_Thy1_Cov
Wdr37,,
RP24-490H13.4,,
Ano5,RGC candidate,"HSA_ThyRbpms_Cov,  "
Klhdc1,RGC prime candidate,SY TSNE cluster 75L. High RGC/retina ratio in Geisert and moderate retinal epression.
Sirpb1a,,
Rnf217,,
Spag5,"RGC master, amacrine","Conflict with Rheaume, their RGC_Type_33, but Macosko as amacrine cell marker. THY1/CD15 ratio is 0.75"
Sult2a8,,
Ranbp6,,
Mis18bp1,,
1700022A22Rik,,
Ugt3a1,,
Ugt2a3,,
Mup10,,
AF529169,,
Mex3b,,
Mill2,,
Bckdhb,RGC prime candidate,SY TSNE cluster 75L. Very high RGC/retina enrichment in Geisert and high retinal epression. HIghly polymorphic gene in BXD family
Lix1,,
Timd4,,
Txndc8,,
Atp12a,,
Mir8117,,
Tbc1d25,,
Zfhx2os,,
Wasf1,,
Mbd3l1,,
8430437L04Rik,,
Gab3,,
Hyls1,,
Flt3l,,
1700025M24Rik,,
Kdm4d,,
Supt3,,
Kcnip2,"RGC master, amacrine",RGC_Type_39
Ccdc160,,
Wdr27,,
Gm16105,,
Opn5,,
Slc16a10,,
5033428I22Rik,,
Mpped1,,
Ptpn9,,
0610010F05Rik,,
Cer1,,
Akap11,,
RP24-491O6.1,,
Cyp19a1,,
Sgk1,"Microglia, horizontal, fibroblast",
4930461G14Rik,,
Purg,,
Rpusd1,,
Gm4981,,Low THY1/CD15 ratio
Gm36569,,
Tssk1,,
Mkrn1,,
Igfbpl1,,
Tmem191c,Amacrine,
Allc,,
Vmn1r44,,
Gm28845,,
Fkbp5,,
Mpzl2,,
Mrgpra2b,,
A930029G22Rik,,
Vmn2r28,,
Vmn2r34,,
Ube2e3,,
Aldh1l2,,
Speer3,,Low THY1/CD15 ratio
Nufip1,,
Kif12,,
Gm5538,"RGC candidate, stressed","SY TSNE cluster 70L, very high RGC/retina enrichment from Geisert, low expression"
Cytip,,
Lppr1,,
1700025F22Rik,,
Mtrr,,
Gm24157,,
Zscan18,,
Gm33051,,
B230217O12Rik,,
A630095E13Rik,,
Tpp2,,
Agpat4,,
Fam131b,RGC low,Geisert High covariation with NF eigengene
Ugt2b38,,
Ogn,Fibroblast,
Efcab5,,
Trat1,,
Ankrd7,,
Vmn1r62,,
Olfr1454,,
Tmem91,,
D530049I02Rik,,Upregulated in D2 mutant relative to control by about a factor of 14.0289126335638
Fam163b,,
Scgb2b19,,
Mdga1,,
Galnt16,,
6030419C18Rik,RGC candidate,BXD_Thy1_Cov
6030419C18Rik,,
Mir7086,,
Rngtt,,
Gpr17,,
Rhox3c,,
Otx2,"Bipolar, non-specific","Shekar 2016, PMC2885852, Tran and Sanes 2019"
Ambn,,
Gm960,,
Gm28370,,
Pldi,,
Vmn1r12,,
Olfr13,,
Vamp2,,
Slc5a8,,
Prl2c3,,Upregulated in D2 mutant relative to control by about a factor of 15.9396605908234
Actl7b,,
Lrp3,RGC candidate,"BXD_Thy1_CovHSA_ThyRbpms_Cov,  "
Ankrd32,,
Gm37905,,
St8sia6,,
Sult3a1,,
Dnah9,,
Prrg3,RGC prime candidate,High covariation with Rbpms2
1700007K13Rik,,
Slc25a21,,
Trp63,,
Olfr115,,
Cdhr2,,
Rnf165,,
Ypel4,,
Dmxl2,,
Pkdcc,,
D930007J09Rik,,
Ms4a13,,
Txnrd2,,
Fut8,,
Slc2a6,RGC candidate,"HSA_ThyRbpms_Cov,  "
C1d,,
Gm26657,,
Slc9a7,,
Mdn1,,
Zfp869,,
Fbll1,,
Olfr904,,
Gm1604a,,
RP23-302O24.1,,
Adamtsl3,,
Mir6937,,
Rfx7,,
Mir6992,,
Nipal2,,
Gm26604,,
Swsap1,,
Ptger2,,Stress and inflammation related. Upregulated may in early glaucoma based on numbers cells positive for gene in DBA/2J glaucoma model relative to its wildtype Gpnmb D2 control.
Galnt5,,
Tbr1,"RGC master low, amacrine",Low THY1/CD15 ratio
Ccdc33,,
Olfr905,,
1700061J23Rik,,
Nutm2,,Low THY1/CD15 ratio
Grxcr1,,
Ctsm,,
1700025K24Rik,,Upregulated in D2 mutant relative to control by about a factor of 22.5267127592709
BC030500,,
Rrs1,,
2610206C17Rik,,
Aff2,,
Mettl21e,,
Mageb16,,
Vmn2r106,,Upregulated in D2 mutant relative to control by about a factor of 18.5040854808297
Pbx4,,
1600002H07Rik,,
Peli2,"RGC master, amacrine",Rheume RGC_Type_7 but we see higher fraction labeled cell in CD15+ cell population
1700010I14Rik,,
Spaca1,,
Dusp4,,
Olfr140,,Low THY1/CD15 ratio
Ephx3,,
Ankrd36,,
Mypn,,
Adam39,,
Cdk5r2,,
Gm6792,,
Speer4cos,,
Adam3,,
Gnrhr,,
Gm29587,,
Apol10a,,
Gm11190,,
Kifc2,Unknown,
Gm28154,,
Ceacam3,,
Rasef,,
Mir124a-2,,
Ccng1,,
Mettl22,,
Zbtb14,,
Ckap2,,
Mtmr2,,
4930431F12Rik,,
Gfod1,,
Tex21,,
Ccser2,,
Rab10os,,
Fcrls,Microglia,"Tran and Sanes 2019, many others"
Melk,,
Olfr308,,
Isl2,RGC master low,"Conflict with Rhenume and others. We do not see high levels of expression (only 311 cells out of 9593 Thy1 experiments.  Rheaume considers this a pan-RGC marker in neonatal retain, PMID: 24318667, Rodriques 2014: Isl1 and Isl2, LIM homeodomain-containing transcription factors, are expressed by chicken and mouse RGCs, as well as by bipolar and amacrine cells (Galli-Resta et al., 1997; Edqvist et al., 2006; Elshatory et al., 2007), very high expression in GENSAT (adult mouse) in optic track, lateral geniculate nucleus, pretectum, and superior colliculus"
Cd40lg,,
Shcbp1,,
Zfp382,,
Csn2,,
Actl7a,,
Sec14l5,,
Prrt1,,
Gm26794,,Low THY1/CD15 ratio confirms amacrine cell
Gm17617,,
Ncs1,RGC candidate,"HSA_ThyRbpms_Cov, high covariation with NEFL"
Pde10a,,
Lrrc63,,
Gm20929,,
Cpt1b,,
Hnf1b,,
Sult2a4,RGC prime candidate,SY TSNE cluster 90H.Moderate RGC/retina enrichment in Geisert
Txndc16,,
Pbsn,,
Lsm11,,
Rasgef1c,,
Ccdc132,,
B430212C06Rik,,
Zfp936,,
Il1rap,"RGC candidate, stress",
Gm15056,,
Phtf2,,
Gm17359,,
Olfr309,,
Asic4,,
Nxpe4,,
Prss58,,
Mme,,
Pax4,,
Pik3c3,,
Mir211,,
Gm26558,,
Fhdc1,,
Gm2895,,
Lzts1,,
Scfd2,,
Hsf2bp,,
Vrtn,,
Tbx20,RGC master,
Dnah7b,,
Zbbx,,
Zfp810,,
Tbc1d32,RGC canddate,
Has2,,
Mir124-2hg,Unknown,
Ankrd22,,
Tmem225,Unknown,SY TSNE cluster 7L. Very low RGC/retina enrichment in Geisert. Very low retinal expression
Vcan,"RGC master, fibroblast","Conflict with Rheaume, RGC_Type_20, Fibroblast"
Vmn1r180,,
Sirpb1c,,Upregulated in D2 mutant relative to control by about a factor of 14.0456735805573
Olfr1086,,
Tmem229a,,
Prtg,,
Prss37,,Low THY1/CD15 ratio
Camk2g,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Ets1,"Endothelium, pericyte",
Efnb3,RGC candidate,High covariation with Rbpms2
Hacd4,,
Lrr1,,
4930512M02Rik,,
Gpr82,,
4933427E13Rik,,
Olfr1270,,
A1cf,,
Tnfsf10,,
Chn1,Amacrine,
Srpk1,,
Lrrc24,,
Tcf21,,
Dcbld1,,
4933406J10Rik,,
Fam110b,,
Park2,,
Pgm5,,
Pi15,,
Stoml3,,
Bnc2,,
Gm13571,,
Mapk8,,
Mrm1,,
Cts7,,
D030025P21Rik,,
Fgfr3,,
Vmn1r63,,
Pgam1,,
Nt5c1b,,
1700030K09Rik,,
Aox2,,
Asb3,,
Gm16677,,
Dlx6os1,,
Olfr732,,
Fam81a,,
Rell2,,
Rfpl4b,,
Afap1l2,,
Gm16998,,Low THY1/CD15 ratio
1700008O03Rik,,
Spanxn4,,
Olfr1258,,
St7,,
Vmn2r95,,
Ecm2,,
Adcy2,Amacrine,
Rsph1,,
Chst7,,
Slc35e1,,
Gm8298,,
Tkt,"Amacrine, horizontal",
Gm3411,,
Tnfrsf11b,"RGC master, amacrine",RGC_Type_36
Ids,,
Mageb4,,
Ccbe1,,
Slfn3,,
4932414N04Rik,,
Enthd1,,
Cd36,Astrocyte,
Abi2,,
Scube1,,
Gm5771,,
3425401B19Rik,,
Esp36,,
Ccdc39,,
1700108F19Rik,,
Scrt1,RGC candidate,"High covariation with THY1 (human) and Thy1 (mouse), high expression in inner part of retina at E13.5 (PMID:11274425), HIgh raw RGC:retina ratio in Geisert of 2.71."
Gpr137b,,
Xpnpep1,,
Ryr1,,
Vmn2r94,,
Gm10545,,
Eci3,,
Abr,RGC candidate,BXD_Thy1_Cov
Olfr1247,,
Usp46os2,SY_informative,SY_informative
Gm15628,,
Vmn2r116,,
Alb,,
Mir181b-2,,
Cox7b2,RGC prime candidate,SY TSNE cluster 90H. High RGC/retina enrichment in Geisert
Fbxl7,,
4933427D06Rik,,
E230016M11Rik,,
Mir7083,,
Platr20,,
Aebp1,RGC master,RGC_Type_25 
Ndufs8,RGC prime candidate,High covariation with all core RGC reference genes except Jam2
Ccne1,,
Gm3500,,
Olfr733,,
Sec31b,,
Mir7117,,
BC051665,,Low THY1/CD15 ratio
Vmn2r98,,
Dnah2,,
Fars2,,
Mfng,RGC master,RGC_Type_18
Clmp,Amacrine,
Tmem38a,,
RP24-417P12.1,,
Rab3a,RGC candidate,BXD_Thy1_Cov
Cxcl17,,
Gm2381,,
P4ha2,,
Prdm6,,
Atp7b,,
Plac8l1,,
Olfr301,,
Rab31,,
Ctif,RGC candidate,"High covariation with NEFL, BXD_Thy1_Cov"
Gm12298,,
Lamb1,"Pericyte, endothelium",
Ankrd29,Horizontal,
Ms4a7,,
Bard1,,
2010204K13Rik,,
Spatc1,,
Ube3a,,
Ugt2b37,,
Scgb2b24,,
Entpd4,,
Tecrl,,
Acer2,,
Vmn2r93,,
Lace1,,
Try5,,
C230034O21Rik,,
Obox3,,
Heatr3,,
Cyp4f18,,
Defb46,,
Vmn2r61,,
Gm16000,,
Ppm1l,Amacrine,
Hand2,,
Ptprn,RGC candidate,Geisert
Fbxl6,,
Mapk11,,
Zfp946,,
4632428C04Rik,,
Pcsk1,,
Mzf1,Unknown,
Tnks,,
Zfp81,,
Abca7,,
Porcn,RGC prime candidate,High covariation with Rbpms2
Prepl,,
Gm10406,,
E330013P04Rik,,
Olfr895,,
Lrrc14,,
Gm17727,,
Fam84a,,
Lrrtm3,,
Akap2,,
Gpr137c,RGC candidate Dec18,
Adarb1,"Amacrine, horizontal",BXD_Thy1_Cov
Prl7a2,,Low THY1/CD15 ratio
Fam189a1,RGC candidate,"HSA_ThyRbpms_Cov,  "
Vmn2r50,,
Gm13703,,
Peg13,,
Syn1,RGC candidate,BXD_Thy1_Cov
Idh3a,,
Olfr141,,
Alpk3,,
Dpy19l2,,
Npr3,,
Sfi1,Housekeeping,
Epb4.1l4a,Amacrine,
Trpm6,,
Tbata,,
Aim1,,
B630019K06Rik,,
Khdrbs2,,
Vmn1r45,,
Gm13446,,
Tbc1d1,,
Zfp583,,
Zfy2,,
RP23-37I24.1,,Low THY1/CD15 ratio confirms amacrine cell
Vmn2r67,,
Camkmt,,
Olfr855,,
Nos3,,
Ccnc,,
Ppfia3,,
Acvr2a,,
9930014A18Rik,,
Rgl3,,
Fra10ac1,,
Nacc1,RGC prime candidate,High covariation with Thy1 and 4 other core RGC signagtures
Loxl4,,Low THY1/CD15 ratio
Tomm70a,,
Pappa,RGC candidate,RGC_Type_32
Gm26954,,
Catsperd,,
Vgll3,,
Fam13a,,
Mapk12,,
Ttc9b,RGC candidate,High covariation with Rbpms2
Mrgprb1,,
Gm5935,,
Cyc1,RGC prime candidate,"Enriched RGC  expression relative whole retina in Geisert data, High covariation with all core RGC reference genes except Jam2"
Nptxr,RGC candidate,PMID: 16763034 
Prl2c2,SY_informative,SY_informative
Col10a1,,
Gabbr1,RGC candidate,BXD_Thy1_Cov
B3galnt1,,
Zfp14,,
Tmem229b,,
Vmn2r53,,
Platr12,,
Gm3264,,
Chst9,,
Arhgap15,,
Esp3,,
n-R5s185,,
Tlk1,Housekeeping,
Nmb,,
Bag2,,
Fam122c,,
Tmem255a,,
Atcay,RGC candidate,"Geisert, high covariation with NF eigengene, BXD_Thy1_Cov,  "
Enpp6,,
Wdfy4,,
Cdk5r1,Amacrine,
1700086L19Rik,,
Slitrk4,,
Sult2a5,,
Lman1l,,
Rasgrp4,,
Vmn2r63,SY_informative,SY_informative
Grin3b,,
Tmem215,Amacrine low,
Fscn3,,
Fam198b,,
Zfp346,,
Muc13,,
Osr1,,
Pramel6,,
Tssk5,,
A630001G21Rik,,
Tmprss15,,
Tmem30b,,
Gpr75,,
Atp10b,,
Zfyve28,,
Gpr160,,
Mir694,,
Cidea,,
9330154J02Rik,,
Dse,,
Corin,,
Uchl1,RGC reference low,"Wiki_RGCHSA_ThyRbpms_Cov,  Pinelli, high covariation with Thy1,Tubb3, Macosko 2015 "
Napa,,
AI854703,,
Sgol2a,SY_informative,SY_informative
Tssk2,,
Olfr978,Unknown,SY TSNE cluster 7L. Very low RGC/retina enrichment in Geisert. Very low retinal expression
Slc45a4,RGC candidate,BXD_Thy1_Cov
Adam26a,,Low THY1/CD15 ratio
Csgalnact1,,
Olfr315,,
Aars2,,
Neb,,
Slc7a10,,
Zfp827,,
6430710C18Rik,RGC master,RGC_Type_12
Gria4,"RGC housekeeping, stress, amacrine",BXD_Amarcine.  HIgh RGC expression in Pete Williams and stress-down response.
Zfp189,,
Klhl31,,
Psmc6,,
Cntnap3,,
Ambp,,Low THY1/CD15 ratio
Zfp963,,
Ppp1r3fos,,
Egln3,RGC master,RGC_Type_5
Adtrp,,
Cldn1,,
Rad51b,,
Gm4952,,
Ltbp1,Fibroblast,
Oog1,,
Mroh2b,,
Slc38a5,,Low THY1/CD15 ratio
Sstr1,,Low THY1/CD15 ratio
Lipo1,,
Cep41,,
1810009J06Rik,,Low THY1/CD15 ratio
Gm20855,,
Scx,,
Lrfn2,,
Gm6484,,
Esp31,,
Colec11,,
Xkr6,,
D630023F18Rik,,
Gm16845,,
Faxc,,
Tubal3,,
Olfr1131,,
Rab32,SY_informative,SY_informative
Vmn2r66,,
Gm26593,,
Mup6,,
Cpne5,"RGC mixed, amacrine",High covariation with Thy1 and 4 other core RGC signagtures
Slc22a26,,
Gm3002,,
Gpr1,,
Vmn2r55,,
Rnf17,,
6030407O03Rik,RGC prime candidate,SY TSNE cluster 90H. High RGC/retina enrichment in Geisert
Rpgr,,
Loxhd1,,
4930509E16Rik,,
Kcnc3,,
Snx16,"RGC candidate, stress",
Gm1527,,
Fstl4,RGC master,"Rheaume RGC_Type_32, Wiki_RGC, Sanes ON type, directionally-selective cell. T which is encoded by follistatin-like 4 (Fstl4) in the ventral nasal sector of mouse retina (from http://www.nature.com/nrn/journal/v13/n3/full/nrn3165.html)"
Bmp4,Fibroblast,
E030013I19Rik,,
Ccdc169,,
Meis3,RGC candidate,High covariation with Rbpms2
Abcb1a,Endothelium,SY_informative
Gm5615,,
Esp34,,
Gng4,RGC candidate,"High covariation with Rbpms2, SY_informative"
Plxna1,,
Pax3,,
Rasa3,,
Vmn2r68,,
Col6a1,"RGC candidate, amacrine","HSA_ThyRbpms_Cov,  "
Runx2,RGC master,RGC_Type_24
1700001G01Rik,,
Gpt2,RGC prime candidate,SY TSNE cluster 75L. Moderately high RGC/retina ratio in Geisert and moderate retinal epression.
Gm773,SY_informative,SY_informative
Myo5c,,
Snd1,RGC canddate,
Spock1,,
Gm5150,,
Ctsj,,Low THY1/CD15 ratio
Fam65b,Unknown,Geisert High covariation with NF eigengene
Nrp2,,
Mir8100,,
Vnn1,,
Esp8,,
Cd276,,
C1galt1,RGC master,RGC_Type_27
9130011E15Rik,,
Tmod3,,
Rbp4,,
Vmn2r54,,
Siglecf,,
Scn9a,,
C530008M17Rik,,
Gad2,"RGC master, amacrine","Rheaume RGC_Type_39, PMID or Geisert, Macosko 2015 PC8 as a classic amacrine cell marker, Wiki_RGC, BXD_Amacrine "
Rfx6,,
Speer4b,,Low THY1/CD15 ratio
Olfr366,,
Adam32,,
BC065403,,
Car15,,
Mir6341,,
Sim1,,
Sncaip,,
Vmn2r39,,
Gm3383,RGC candidate,SY TSNE cluster 90H. Moderate RGC/retina enrichment in Geisert
Susd1,,
Gm26811,,
Cubn,,
Plb1,,
Gm3488,,
Cdh17,,
Vstm2a,Amacrine,
Fam171a1,,
Ccnb3,,
Ankar,,
Gm9962,,
Slc5a4b,,
Sestd1,,
Lrrc73,,
Umad1,Unknown,
Gm21317,,
Smyd4,,
Olfr313,,Low THY1/CD15 ratio
Gm10324,,
Gm21685,,
Ccdc149,,
Sntg2,,
Fam124a,Horizontal,
Whsc1,,
Atp13a5,,
Dnah5,,
Cyp7b1,,
Ccl20,,
Nudt10,,
Slco5a1,,
Olfr202,,
Agr3,,
Ube2q2,,
Olfr851,,
Slc9a2,,
Epsti1,,
Gm2012,,
Mir344-2,,
Eva1a,,
A530032D15Rik,,
Olfr735,,
Vmn2r78,,
Pou1f1,,
Ermn,,Low THY1/CD15 ratio
Ccnb1ip1,,
Prl8a6,,Low THY1/CD15 ratio supports amacrine cell but total number too high and therefore likely to be expressed in RGCs
Vps13c,,
Casp7,Bipolar (rod bipolar),"Shekar 2016, Caspase-7: A critical mediator of optic nerve injury-induced retinal ganglion cell death."
Kcnt1,RGC candidate,"HSA_ThyRbpms_Cov,  "
Pdxk,RGC candidate,BXD_Thy1_Cov
Cyp2c70,,
Sema6b,RGC candidate,"BXD_Thy1_Cov, Wiki_RGC "
Smim17,,
Mecomos,,
C030034I22Rik,,
Itga11,,
Glcci1,,
Cttnbp2,"Amacrine, horizontal",
Prl8a1,,
Prcc,,
Sfrp2,,
8030442B05Rik,,
Scn1b,RGC low,"Pinelli high correlation with TUBB3, HSA_ThyRbpms_Cov "
A230004M16Rik,,Low THY1/CD15 ratio
Prl8a2,,
Gm11240,,
Gnat3,,
Gm12147,RGC candidate,SY TSNE cluster 90H. Low RGC/retina enrichment in Geisert
Thsd7a,"Amacrine, bipolar, horizontal",
Vmn2r109,,
Telo2,,
Ccrn4l,Unknown,
Pcsk1n,Horizontal,
Masp1,,
2610316D01Rik,,
Cfap43,RGC prime candidate,SY TSNE cluster 75L. Very high RGC/retina enrichment in Geisert and moderate retinal epression.
Olfr25,,
4933417A18Rik,,
Fbxl16,RGC candidate,High covariation with Thy1
Rcan2,"RGC candidate, amacrine",Covaries well with Cend1 and other RGC genes in Geisert exon
Atp1a3,"RGC mixed, non-specific","Geisert, BXD_Thy1_Cov"
Gm16282,,
2610008E11Rik,,
Vmn2r59,,
Slc26a3,SY_informative,SY_informative
Gm16685,,
4930550C14Rik,,
B430305J03Rik,,
Oc90,,
1500017E21Rik,,
Pkib,RGC master,RGC_Type_10
Cxx1c,RGC prime candidate,High covariation with Rbpms1 and 2 and Tubb3
Phox2b,,
Rell1,,
Fsd1,RGC candidate,"HSA_ThyRbpms_Cov,  "
Gmds,,
Gm15845,,
Pole2,,
Ncan,RGC candidate,BXD_Thy1_Cov
Srpk3,,
Olfr1085,,
Iqub,,
Wdhd1,,
Pax5,,
Rrp12,,
Nbas,,
AI854517,,
Hapln1,,
Gfral,,
4930486I03Rik,,
Stau2,,
Gm13629,,
Kdelc2,,
Dll3,,
Tmem213,,
Snurf,,
Tpd52l1,,
Olfr983,Unknown,SY TSNE cluster 7L. Very low RGC/retina enrichment in Geisert. Very low retinal expression
4930599N23Rik,,
Hrasls,,Low THY1/CD15 ratio
Lrrc31,,
Tert,,
Olfr1152,,
Clvs2,Unknown,High covariation with Rbpms
Ebf2,RGC master,"Rheaume reference RGC marker, Pinelli high correlation with RBPMS, SY_informative"
Cyp2b10,,
Ms4a4a,,Upregulated in D2 mutant relative to control by about a factor of 24.6385920804525
Gm21319,,
Homer2,Amacrine low,Macosko 2015
Galnt14,,
Trpc7,RGC master,RGC_Type_25 
Tbc1d21,,
Cdk14,"RGC mixed, amacrine",Macosko 2015
Atp8a2,,
Slc35d2,,
2010300C02Rik,,
Gm28063,,
B130024G19Rik,,
Vldlr,,
F8,,
Olfr1161,,
Vmn2r42,,
Sugct,,
Plxna4,,
Tbc1d22bos,,
Nlrp12,,
Atp6v1b2,,
1700027F09Rik,,Low THY1/CD15 ratio
Ecsit,,
Rfx4,,
Lmod2,,
Apod,Endothelium,
Scn3b,RGC prime candidate,High covariation with all core RGC reference genes except Jam2
Scgb2b2,,Low THY1/CD15 ratio confirms amacrine cell
Wee2,,
Onecut2,Horizontal,
Car1,,
Sp110,,
Cyp2c38,,
Trpc4,RGC prime candidate,"SY TSNE cluster 93H, strong RGC signal and known genes such as CDH6, TTC29, MLIP, and also strong Mt signal; possible markers of cellular stress. Not enriched for RGC/retina ratio in Geisert"
Sox11,"RGC master, stress","Rheaume pan-RGC marker, but mainly in development. We see tenfold drop in density of expression  (cells/10K cells) from P8 to P128. No support in Cepko in situ except at about E16.5. In neonates high backgroud or expression in INL and ONL. No support in Geisert adult  RGC/retina ratio data (0.23)  and expression  low (7.35) in Geisert MTA data. However, Geisert reports marked upregulation during stress/axotomy-crush"
Gm10922,,
Gm12130,,
Mir181a-2,,
Gabra4,Amacrine low,
Vmn2r52,,
Veph1,,
Spp2,,
1700057H21Rik,,
Enpp3,,
4931414P19Rik,,
Timd2,,
Slc16a14,RGC prime candidate,High covariation with Rbpms2
Gm27734,,
Hdgfrp3,,
Gm16277,,
Mtnr1a,,
4921515E04Rik,RGC candidate,
Fbxw7,Amacrine,
Zscan4f,,Low THY1/CD15 ratio
Gria1,Amacrine,
H60c,,
Chrd,,
Smc2os,,Low THY1/CD15 ratio
Myh15,,
Dnaaf2,,
Adgre4,,
2700089I24Rik,,
Svep1,,
A330093E20Rik,,
Synb,,
Gm10451,,Low THY1/CD15 ratio
Eya1,,
Slc26a7,,
Pvt1,"RGC candidate, stress",
Adrb1,RGC candidate,"SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75, Low THY1/CD15 ratio"
Klhl29,,
Zfp365,Bipolar,Low THY1/CD15 ratio
Scrg1,,
Nkx3-1,,
Myocd,,
Lrrc69,,
Pirt,"RGC mixed low, non-specific",Geisert
Slc41a2,,
Rsrc1,,
Tshz1,Amacrine,
Ttll13,,
Chchd6,,
Grm3,,
Wdr72,,
Atp8b1,,
Mtfp1,,Low THY1/CD15 ratio
Rasd2,"RGC candidate, amacrine","BXD_Thy1_Cov, Low THY1/CD15 ratio"
Olfr183,,
Atm,,
Tmem67,,
Stxbp1,RGC candidate,BXD_Thy1_Cov
Wdr75,,
Sidt1,,
Cyp2c69,,
Abca12,,
Epor,,
Vmn2r96,,
Dgkk,SY_informative,SY_informative
D630045J12Rik,,
2900092C05Rik,,
Pus7,,
Ccdc171,,
Col4a3,,
Dctd,,
Lrrc16b,,
Gm37271,,
Sema4f,,
Ttk,,
Olfr1158,,
Atp10a,,
Stra6,"RGC master, amacrine","RGC_Type_37, Low THY1/CD15 ratio"
Ly6i,,Low THY1/CD15 ratio
Vmn2r76,,
Prim2,,
A430018G15Rik,,
Col4a1,"Pericyte, endothelium",
1700112E06Rik,,
Atp6v1a,Horizontal,
Sult4a1,RGC reference low,"High covariation with all core RGC reference genes except Jam2,Macosko 2015 RGC only"
Exph5,,
Scgb2b20,,
Hmmr,,
Vmn2r117,,
Prl7b1,,
Bdh1,,
Acvr1,,
Styx,RGC candidate Dec18,
Aldob,,
Sis,,
5-Sep,RGC candidate,"HSA_ThyRbpms_Cov,  "
Dock10,RGC prime candidate,High covariation with all core RGC reference genes except Jam2
Gch1,,
Lynx1,RGC reference,"Pinelli high correlation with TUBB3 and Thy1, Geisert Exon high correlation with Rbpms2"
Cbln2,Amacrine low,"Geisert High covariation with NF eigengene, Macosko 2015 amacrine types"
Vmn1r83,,Low THY1/CD15 ratio
Spata5,,
Zfp599,Unknown,
Zfp607,,
Myh11,,
Plac1,,
Mgat4a,,
Pde11a,RGC prime candidate,"RGC_Type_32, SY TSNE cluster 90H. Low RGC/retina enrichment in Geisert"
Grik1,Bipolar,Shekar 2016
Foxp2,RGC master,"Rheaume reference RGC marker, Rousso-Sanes, F-type RGC, expressed by 20–25% of RGCs, more than 90% are RGCs but a few also express Pax6 and Sp2 (amacrine cell markers). Foxp1 and Brn3 proteins divide F-RGCs into 4 molecularly distinct RGC types. "
Hps5,,
Reln,Amacrine,
Cadps2,"RGC candidate, stress",
Lrrc9,,
Slc6a8,RGC candidate,BXD_Thy1_Cov
Lgi1,RGC prime candidate,High covariation with Rbpms2 and Rbpms in Lu
Tmem212,,
Gucy2g,,
Actn1,"RGC mixed, endothelium",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Serpinf2,,
Gm22413,,
Pprc1,,
Dgki,,
Frem2,,
Tmprss11d,,
Gm20831,,
RP23-130C18.4,,Low THY1/CD15 ratio confirms amacrine cell
1700123O12Rik,RGC candidate,
Haao,,
Gm1968,,
Olfr1164,,Low THY1/CD15 ratio
Btnl9,,
Aoah,,
Nlrp4b,,
Plcl2,,
Gm5622,,
Gm16028,RGC candidate,SY TSNE cluster 90H. Low RGC/retina enrichment in Geisert
Podxl2,"RGC mixed, amacrine, fibroblast",Geisert
Fbxl22,,
Lurap1l,,
Ablim3,,
A230077H06Rik,RGC master,RGC_Type_22
Ros1,,
Scgb1b2,,Low THY1/CD15 ratio confirms amacrine cell
Bend3,,
Col8a1,,
Vmn2r65,,
Adgrb1,,
Gabrr2,Bipolar,
Serpinb6d,,
Akap17b,,
Celf4,"Amacrine, non-specific",
Akr1b3,,
Map3k9,,
Zfp444,,
Slc7a13,,
Aldh1a2,,
9330175M20Rik,,
Klhl32,,
Pygo1,,
Gnal,Amacrine,
Zim3,,
Gcm1,,
Ly6c2,,
Rtn4rl1,,
Tmem2,,
Olfr303,,
Nrep,"RGC mixed, amacrine",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Gm27675,,
Frem3,,
Esr2,,
Tmem45a2,,
Cep126,,
Nid1,Endothelium,
Dnah6,,
Sema3c,,
AI593442,RGC candidate,BXD_Thy1_Cov
